pandemic_period,Alternative Medications,Community Support,Diet & Side Effects,Insurance & Access,Weight Loss Experiences
Post-Pandemic,72.44627108485315,14.997003168079459,6.349002483089306,3.934412192824728,2.273311071153352
Pre-Pandemic,57.446808510638306,36.17021276595745,4.25531914893617,2.127659574468085,0.0
