period,compound_mean,compound_std,compound_median,pos_mean,neu_mean,neg_mean,count
Post-Pandemic,0.3267405985101464,0.5605789983742412,0.5052000000000001,0.24945299255073208,0.6253793132973714,0.1251678225875503,23358
Pre-Pandemic,0.1829212765957447,0.6495584948510161,0.4215,0.217468085106383,0.6517021276595745,0.13085106382978723,47
