period,total_posts,start_date,end_date,months,posts_per_month
Post-Pandemic,23358,2020-03-17 01:57:37,2025-10-27 21:05:08,11.300919842312746,2066.9113953488372
Pre-Pandemic,47,2019-03-20 16:13:21,2020-02-27 18:18:19,67.34559789750328,0.6978926829268293
