period,compound_mean,compound_std,compound_median,pos_mean,neu_mean,neg_mean,count
Early Period (2020-2022),0.3700994193989071,0.5711466971495578,0.5853999999999999,0.2741857923497268,0.5924569672131147,0.13334870218579234,2928
Recent Period (2023-2025),0.32014558471387383,0.559064983683269,0.4939,0.2458552998094121,0.630115867663588,0.12403020085031521,20463
