period,total_posts,start_date,end_date,months,posts_per_month
Early Period (2020-2022),2928,2020-01-10 18:56:11,2022-12-29 01:54:48,35.57818659658344,82.29761772853186
Recent Period (2023-2025),20463,2023-01-01 01:40:35,2025-10-27 21:05:08,33.83705650459921,604.7511844660195
